gene_pair,celltype_pair,mean,p,padj,Interactions to show
CXCL12|ACKR3,Pre-dermal condensate|Immature basal,0.94,0,0,CXCL12|ACKR3
FAM3C|CXADR,Pre-dermal condensate|Immature basal,0.37,0,0,FAM3C|CXADR
FAM3C|LAMP1,Pre-dermal condensate|Immature basal,0.347,0,0,FAM3C|LAMP1
RSPO3|LGR4,Pre-dermal condensate|Immature basal,0.146,0,0,EFNB1|EPHB6
FAM3C|LAMP1,Dermal condensate|Basal,0.344,0,0,RSPO3|LGR4
FAM3C|CXADR,Dermal condensate|Basal,0.766,0,0,RSPO3|LGR5
CXCL12|ACKR3,Dermal condensate|Basal,0.251,0,0,RSPO3|LGR6
EFNB1|EPHB6,Dermal condensate|Basal,0.148,0,0,
FAM3C|LAMP1,Dermal condensate|Companion layer,0.484,0,0,
FAM3C|CXADR,Dermal condensate|Companion layer,1.085,0,0,
EFNB1|EPHB6,Dermal condensate|Companion layer,0.464,0,0,
FAM3C|LAMP1,Dermal condensate|Cuticle/cortex,0.403,0,0,
FAM3C|CXADR,Dermal condensate|Cuticle/cortex,0.651,0,0,
FAM3C|CXADR,Dermal condensate|Inner root sheath,0.977,0,0,
EFNB1|EPHB6,Dermal condensate|Inner root sheath,0.21,0,0,
FAM3C|LAMP1,Dermal condensate|Matrix/placode,0.395,0,0,
FAM3C|CXADR,Dermal condensate|Matrix/placode,0.71,0,0,
FAM3C|CXADR,Dermal condensate|Outer root sheath,0.945,0,0,
EFNB1|EPHB6,Dermal condensate|Outer root sheath,0.349,0,0,
FAM3C|LAMP1,Dermal condensate|POSTN+ basal,0.38,0,0,
FAM3C|CXADR,Dermal condensate|POSTN+ basal,0.529,0,0,
EFNB1|EPHB6,Dermal condensate|POSTN+ basal,0.233,0,0,
FAM3C|LAMP1,Dermal papillia|Basal,0.431,0,0,
FAM3C|CXADR,Dermal papillia|Basal,0.853,0,0,
EFNB1|EPHB6,Dermal papillia|Basal,0.286,0,0,
RSPO3|LGR5,Dermal papillia|Basal,1.257,0,0,
RSPO3|LGR4,Dermal papillia|Basal,1.158,0,0,
RSPO3|LGR6,Dermal papillia|Basal,1.229,0,0,
FAM3C|LAMP1,Dermal papillia|Companion layer,0.57,0,0,
FAM3C|CXADR,Dermal papillia|Companion layer,1.172,0,0,
EFNB1|EPHB6,Dermal papillia|Companion layer,0.602,0,0,
RSPO3|LGR4,Dermal papillia|Companion layer,1.184,0,0,
RSPO3|LGR6,Dermal papillia|Companion layer,1.154,0,0,
FAM3C|LAMP1,Dermal papillia|Cuticle/cortex,0.49,0,0,
FAM3C|CXADR,Dermal papillia|Cuticle/cortex,0.738,0,0,
FAM3C|PDCD1,Dermal papillia|Cuticle/cortex,0.362,0,0,
RSPO3|LGR4,Dermal papillia|Cuticle/cortex,1.11,0,0,
RSPO3|LGR6,Dermal papillia|Inner root sheath,1.119,0,0,
FAM3C|CXADR,Dermal papillia|Inner root sheath,1.064,0,0,
EFNB1|EPHB6,Dermal papillia|Inner root sheath,0.348,0,0,
RSPO3|LGR5,Dermal papillia|Inner root sheath,1.153,0,0,
RSPO3|LGR4,Dermal papillia|Inner root sheath,1.207,0,0,
RSPO3|LGR6,Dermal papillia|Matrix/placode,1.154,0,0,
FAM3C|LAMP1,Dermal papillia|Matrix/placode,0.482,0,0,
FAM3C|CXADR,Dermal papillia|Matrix/placode,0.797,0,0,
RSPO3|LGR5,Dermal papillia|Matrix/placode,1.145,0,0,
RSPO3|LGR4,Dermal papillia|Matrix/placode,1.109,0,0,
RSPO3|LGR6,Dermal papillia|Outer root sheath,1.18,0,0,
FAM3C|LAMP1,Dermal papillia|Outer root sheath,0.439,0,0,
FAM3C|CXADR,Dermal papillia|Outer root sheath,1.032,0,0,
EFNB1|EPHB6,Dermal papillia|Outer root sheath,0.487,0,0,
RSPO3|LGR5,Dermal papillia|Outer root sheath,1.262,0,0,
RSPO3|LGR4,Dermal papillia|Outer root sheath,1.178,0,0,
RSPO3|LGR6,Dermal papillia|POSTN+ basal,1.259,0,0,
FAM3C|LAMP1,Dermal papillia|POSTN+ basal,0.467,0,0,
FAM3C|CXADR,Dermal papillia|POSTN+ basal,0.616,0,0,
EFNB1|EPHB6,Dermal papillia|POSTN+ basal,0.371,0,0,
RSPO3|LGR4,Dermal papillia|POSTN+ basal,1.115,0,0,
