STANDARD_NAME	HALLMARK_ANGIOGENESIS
SYSTEMATIC_NAME	M5944
CATEGORY_CODE	H
SUB_CATEGORY_CODE	
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS
CHIP	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes up-regulated during formation of blood vessels (angiogenesis).
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
GENESET_LISTING_URL	
MEMBERS	APOH,APP,CCND2,COL3A1,COL5A2,CXCL6,FGFR1,FSTL1,ITGAV,JAG1,JAG2,KCNJ8,LPL,LRPAP1,LUM,MSX1,NRP1,OLR1,PDGFA,PF4,PGLYRP1,POSTN,PRG2,PTK2,S100A4,SERPINA5,SLCO2A1,SPP1,STC1,THBD,TIMP1,TNFRSF21,VAV2,VCAN,VEGFA,VTN
MAPPED_SYMBOLS	APOH,APP,CCND2,COL3A1,COL5A2,CXCL6,FGFR1,FSTL1,ITGAV,JAG1,JAG2,KCNJ8,LPL,LRPAP1,LUM,MSX1,NRP1,OLR1,PDGFA,PF4,PGLYRP1,POSTN,PRG2,PTK2,S100A4,SERPINA5,SLCO2A1,SPP1,STC1,THBD,TIMP1,TNFRSF21,VAV2,VCAN,VEGFA,VTN
