,fetal_skin_n,fetal_skin_p,fetal_skin_l,organoid_n,organoid_p,organoid_l
0,GABARAP,0.0,4.5279016,MALAT1,0.0,1.7047815
1,MT-ATP8,0.0,4.51994,RPS2,0.0,1.4539522
2,ACTB,0.0,1.7307309,CD81,0.0,2.7983959
3,ZFP36,0.0,3.2006664,RAC1,0.0,2.2263846
4,MT-ND4L,0.0,2.7479603,GNAS,0.0,1.9467727
5,ALDOA,0.0,2.745075,RPS11,0.0,1.0957477
6,PFN1,0.0,2.004087,BRI3,0.0,3.0267193
7,MEG3,0.0,3.850754,NENF,0.0,3.0548363
8,ATP6V0C,0.0,8.169823,RPS20,0.0,1.7449945
9,PCBP2,0.0,1.7379035,RPL15,0.0,0.8405744
10,HSPA1A,0.0,3.4401338,JUND,0.0,2.3519557
11,DNAJB1,0.0,2.9921997,MT-ND2,0.0,1.3681202
12,NME2,0.0,4.6314216,KCNQ1OT1,0.0,2.3264806
13,IFITM2,0.0,2.2695465,RPL23,0.0,1.1995
14,BTG2,0.0,2.7440822,IGFBP2,0.0,4.407766
15,CHCHD2,0.0,1.8522203,RPL13A,0.0,1.3474178
16,PPP1R15A,0.0,1.883059,SRSF9,0.0,1.9328777
17,NBEAL1,0.0,2.0538936,RPS27A,0.0,0.66779566
18,HSPA1B,0.0,3.3919172,PTMS,0.0,2.015838
19,SRGN,0.0,10.765533,MAP2K2,0.0,2.8295329
20,FOSB,0.0,2.21133,CDC42EP5,0.0,4.8311715
21,MTRNR2L12,0.0,2.1928878,ZFAS1,0.0,1.1748884
22,GADD45B,0.0,2.2395875,PPP1R14B,0.0,3.2754
23,TMSB4X,0.0,1.7019728,RPL5,0.0,0.7698693
24,ARHGDIB,0.0,4.613017,PRRX2,0.0,5.20818
25,KLF6,0.0,2.0771806,UBE2M,0.0,3.2356992
26,NFKBIZ,0.0,4.0818963,H1FX,0.0,2.1863613
27,LAPTM5,0.0,8.532172,RPL9,0.0,0.69626665
28,CYBA,0.0,2.0487196,CIRBP,0.0,1.0416014
29,ZYX,0.0,2.728113,RPL3,0.0,0.7078544
30,ITM2A,0.0,2.6081119,RPL26,0.0,0.90710866
31,TYROBP,0.0,12.322037,RPL7,0.0,1.0046079
32,FCER1G,0.0,8.47722,GLRX5,0.0,3.3881266
33,IRF1,0.0,2.911131,TWIST1,0.0,2.478664
34,CCL2,0.0,4.001396,RNF187,0.0,3.2299674
35,GMFG,0.0,5.826084,FAM162A,0.0,1.9880406
36,RPL17,0.0,1.4148222,EBPL,0.0,2.2173393
37,MYL6,0.0,0.87147784,RPS18,0.0,0.69101775
38,HCST,0.0,7.68359,SET,0.0,1.3879894
39,CORO1A,0.0,5.61634,CPE,0.0,2.2374597
40,SERF2,0.0,0.78690076,NDUFC2,0.0,1.6066585
41,RPS28,0.0,0.6530637,RPL10A,0.0,0.7257334
42,RPL36A,0.0,1.3579574,HTRA1,0.0,2.9415336
43,UQCRHL,0.0,2.9691868,EPB41L4A-AS1,0.0,1.5563653
44,SLC2A3,0.0,2.2873092,VEGFB,0.0,2.830373
45,CST3,0.0,1.8059211,BNIP3,0.0,2.0462208
46,FXYD5,0.0,2.4953022,YBX3,0.0,2.0332513
47,HLA-B,0.0,2.7862835,TTC3,0.0,1.215859
48,IGF2,0.0,2.2541199,BASP1,0.0,1.8325673
49,JUNB,0.0,1.6499289,NACA,0.0,0.6130003
50,MCL1,0.0,1.7171551,FAM89B,0.0,3.7124708
51,CCL4,0.0,13.47559,RPS4Y1,0.0,2.390219
52,NGRN,0.0,3.1930602,FTX,0.0,3.2423642
53,RGS2,0.0,3.1927562,RPS23,0.0,0.5049078
54,GLIPR2,0.0,2.1952007,MTRNR2L1,0.0,4.114015
55,CD74,0.0,5.146453,PMEPA1,0.0,2.6625364
56,FOS,0.0,1.6509432,RPL6,0.0,0.5541673
57,COX7A1,0.0,6.8882413,RPL21,0.0,0.7004123
58,CD37,0.0,6.082348,URI1,0.0,2.3340425
59,LCP1,0.0,6.9679294,RPL18,0.0,0.5105551
