gene	annotation
ITGB1	ligand
ADAM17	ligand
YARS	ligand
CXCL8	ligand
KDR	target
ADM	target
TGFB1	target
ABLIM1	target
EGFR	receptor
ESR1	receptor
NOTCH1	receptor
BAMBI	receptor
ERBB2	receptor
ERBB4	receptor
IGF1R	receptor
IL6R	receptor
AHR	transcriptional regulator
CTNNB1	transcriptional regulator
ETS1	transcriptional regulator
FOXH1	transcriptional regulator
FOXL1	transcriptional regulator
HNF4A	transcriptional regulator
JUN	transcriptional regulator
MYC	transcriptional regulator
NFKB1	transcriptional regulator
RNF2	transcriptional regulator
SRY	transcriptional regulator
STAT3	transcriptional regulator
TAF1	transcriptional regulator
TFAP2A	transcriptional regulator
TP53	transcriptional regulator
ABL1	transcriptional regulator
ARNT2	transcriptional regulator
FHL2	transcriptional regulator
FOXO1	transcriptional regulator
GSK3B	transcriptional regulator
IKBKE	transcriptional regulator
ILK	transcriptional regulator
JAK3	transcriptional regulator
MAPK1	transcriptional regulator
MDM2	transcriptional regulator
NR0B2	transcriptional regulator
PARP1	transcriptional regulator
POU4F2	transcriptional regulator
PRKCA	transcriptional regulator
PRKD1	transcriptional regulator
PRKDC	transcriptional regulator
PTK2	transcriptional regulator
RAF1	transcriptional regulator
RELA	transcriptional regulator
SAP18	transcriptional regulator
SMAD7	transcriptional regulator
SP1	transcriptional regulator
SRC	transcriptional regulator
ACAP1	signaling mediator
DISP1	signaling mediator
EID1	signaling mediator
MYOM2	signaling mediator
NPAS4	signaling mediator
PEBP4	signaling mediator
WDR17	signaling mediator
