from	to	weight	layer
ABL1	ACAP1	0.7230718444093845	signaling
ABL1	CTNNB1	0.4378029500431676	signaling
ABL1	EGFR	0.37525730202553914	signaling
ABL1	ERBB2	0.33637618483378695	signaling
ABL1	ERBB4	0.36358309302758973	signaling
ABL1	ESR1	0.3606260439781189	signaling
ABL1	JAK3	0.14418190696167527	signaling
ABL1	JUN	0.41618956048422934	signaling
ABL1	MAPK1	0.02487016889508515	signaling
ABL1	MDM2	0.4830608596519784	signaling
ABL1	MYC	0.17181151102309886	signaling
ABL1	NFKB1	0.13149731999956712	signaling
ABL1	PARP1	0.11739913938772609	signaling
ABL1	PRKD1	0.6469418204647261	signaling
ABL1	PRKDC	0.38135930495551784	signaling
ABL1	PTK2	0.07238226845773389	signaling
ABL1	RELA	0.08064989801478144	signaling
ABL1	SP1	0.19347107956194473	signaling
ABL1	SRC	0.30461265699651735	signaling
ABL1	STAT3	0.025808534291245345	signaling
ABL1	TP53	0.2934382692439383	signaling
ACAP1	ABL1	0.26156096668958423	signaling
ACAP1	NFKB1	0.0730948326383821	signaling
ACAP1	SRC	0.17791770205079757	signaling
ADAM17	ABL1	0.04636710191692602	signaling
ADAM17	CTNNB1	0.07360306445837173	signaling
ADAM17	EGFR	0.06686785204375895	signaling
ADAM17	ERBB2	0.24406036285472915	signaling
ADAM17	ERBB4	0.6850407164243922	signaling
ADAM17	FHL2	0.34804694248269263	signaling
ADAM17	IL6R	0.48162948980683706	signaling
ADAM17	JUN	0.061278189295191465	signaling
ADAM17	MAPK1	0.302105134757558	signaling
ADAM17	NFKB1	0.13149731999956712	signaling
ADAM17	NOTCH1	0.48173834060871773	signaling
ADAM17	RELA	0.08363171112571376	signaling
ADAM17	SRC	0.13374921478101673	signaling
ADAM17	SRY	0.2289123591547786	signaling
ADAM17	TAF1	0.04032419491506822	signaling
AHR	ARNT2	0.5904025282676475	signaling
AHR	BAMBI	0.08968277155121178	signaling
AHR	CTNNB1	0.200089470679571	signaling
AHR	EGFR	0.11349442571754799	signaling
AHR	ERBB2	0.0948101120739767	signaling
AHR	ESR1	0.3174423784102868	signaling
AHR	FOXO1	0.0804512500331607	signaling
AHR	HNF4A	0.10055361663588555	signaling
AHR	JUN	0.05932214898845311	signaling
AHR	MAPK1	0.12308086340185012	signaling
AHR	MDM2	0.05456959260046419	signaling
AHR	MYC	0.0917654801711478	signaling
AHR	MYOM2	0.07937340436108375	signaling
AHR	NFKB1	0.18246593189630447	signaling
AHR	NOTCH1	0.06561977004548089	signaling
AHR	NPAS4	0.12688490528012328	signaling
AHR	NR0B2	0.15131962400244753	signaling
AHR	PARP1	0.06570941889458798	signaling
AHR	POU4F2	0.09520180283938427	signaling
AHR	PRKCA	0.12732925867382397	signaling
AHR	PTK2	0.06429405747511532	signaling
AHR	RAF1	0.025880995853275614	signaling
AHR	RELA	0.30928442867749595	signaling
AHR	SP1	0.3684700954840326	signaling
AHR	SRC	0.09708876824010175	signaling
AHR	TP53	0.12598744845264856	signaling
ARNT2	AHR	0.19653629764141564	signaling
BAMBI	AHR	0.017737358082357605	signaling
BAMBI	HNF4A	0.06666102648975578	signaling
BAMBI	NFKB1	0.05069957524408702	signaling
BAMBI	SMAD7	0.5250083688637244	signaling
BAMBI	TAF1	0.04032419491506822	signaling
CTNNB1	AHR	0.16556205471468838	signaling
CTNNB1	EGFR	0.26608770106039004	signaling
CTNNB1	ESR1	0.20176249047684147	signaling
CTNNB1	ETS1	0.16063873951147384	signaling
CTNNB1	FOXO1	0.5933121444978432	signaling
CTNNB1	GSK3B	0.44166331629352185	signaling
CTNNB1	HNF4A	0.20898320408066312	signaling
CTNNB1	IGF1R	0.31723700177482733	signaling
CTNNB1	JUN	0.24684275905676517	signaling
CTNNB1	MAPK1	0.02487016889508515	signaling
CTNNB1	MDM2	0.05428154825349503	signaling
CTNNB1	MYC	0.3237530832371483	signaling
CTNNB1	NFKB1	0.33019060294283664	signaling
CTNNB1	PARP1	0.1715588698284325	signaling
CTNNB1	PTK2	0.0700717786044119	signaling
CTNNB1	RAF1	0.03277945396685556	signaling
CTNNB1	RELA	0.288290761986014	signaling
CTNNB1	SMAD7	0.4698961867878676	signaling
CTNNB1	SP1	0.14482652936810053	signaling
CTNNB1	SRC	0.33564908076571026	signaling
CTNNB1	SRY	0.22300113966732882	signaling
CTNNB1	STAT3	0.08536254187130668	signaling
CTNNB1	TFAP2A	0.4379972555820895	signaling
CTNNB1	TP53	0.12598744845264856	signaling
CXCL8	AHR	0.06341255580184042	signaling
CXCL8	BAMBI	0.23094072429575377	signaling
CXCL8	CTNNB1	0.051322999059982874	signaling
CXCL8	DISP1	0.3447198887203607	signaling
CXCL8	EGFR	0.04662657367378906	signaling
CXCL8	ERBB2	0.06829042860719278	signaling
CXCL8	ESR1	0.050275892891750294	signaling
CXCL8	FHL2	0.08308749992881681	signaling
CXCL8	FOXO1	0.0804512500331607	signaling
CXCL8	GSK3B	0.06706000868728834	signaling
CXCL8	HNF4A	0.04131013998790734	signaling
CXCL8	IGF1R	0.08751922537426475	signaling
CXCL8	IKBKE	0.07982384361494065	signaling
CXCL8	IL6R	0.04502531221304098	signaling
CXCL8	JAK3	0.1395795251882705	signaling
CXCL8	JUN	0.08576925343564551	signaling
CXCL8	MAPK1	0.05056494104408354	signaling
CXCL8	MDM2	0.05456959260046419	signaling
CXCL8	MYC	0.043774687183373996	signaling
CXCL8	MYOM2	0.20439323156400319	signaling
CXCL8	NFKB1	0.0707615972654141	signaling
CXCL8	NOTCH1	0.06561977004548089	signaling
