from	to	source	database	layer
ADAM17	KDR	lr_evex_regulation_expression	evex_expression	regulatory
ADAM17	TGFB1	lr_evex_regulation_expression	evex_expression	regulatory
AHR	TGFB1	harmonizome_TRANSFAC_CUR	harmonizome_gr	regulatory
AHR	TGFB1	pathwaycommons_controls_expression_of	pathwaycommons_expression	regulatory
CTNNB1	ABLIM1	harmonizome_CHEA	harmonizome_gr	regulatory
CTNNB1	ABLIM1	harmonizome_GEO_TF	harmonizome_gr	regulatory
CTNNB1	KDR	regnetwork_source	regnetwork	regulatory
CTNNB1	KDR	harmonizome_GEO_GENE	harmonizome_gr	regulatory
EGFR	ABLIM1	harmonizome_MSIGDB_GENE	harmonizome_gr	regulatory
EGFR	ADM	harmonizome_GEO_GENE	harmonizome_gr	regulatory
EGFR	ADM	harmonizome_MSIGDB_GENE	harmonizome_gr	regulatory
ESR1	ABLIM1	harmonizome_CHEA	harmonizome_gr	regulatory
ESR1	ABLIM1	harmonizome_GEO_TF	harmonizome_gr	regulatory
ESR1	KDR	harmonizome_CHEA	harmonizome_gr	regulatory
ESR1	KDR	trrust	trrust	regulatory
ESR1	KDR	HTRIDB	HTRIDB	regulatory
ESR1	TGFB1	lr_evex_regulation_expression	evex_expression	regulatory
ETS1	ABLIM1	harmonizome_TRANSFAC	harmonizome_gr	regulatory
ETS1	ABLIM1	ontogenet_coarse	ontogenet	regulatory
ETS1	ABLIM1	HTRIDB	HTRIDB	regulatory
ETS1	ADM	harmonizome_ENCODE	harmonizome_gr	regulatory
ETS1	ADM	harmonizome_TRANSFAC	harmonizome_gr	regulatory
ETS1	ADM	HTRIDB	HTRIDB	regulatory
ETS1	ADM	Remap_5	Remap	regulatory
ETS1	KDR	regnetwork_source	regnetwork	regulatory
ETS1	KDR	trrust	trrust	regulatory
ETS1	KDR	Remap_5	Remap	regulatory
ETS1	KDR	evex_regulation_expression	evex_expression	regulatory
ETS1	KDR	pathwaycommons_controls_expression_of	pathwaycommons_expression	regulatory
ETS1	TGFB1	harmonizome_ENCODE	harmonizome_gr	regulatory
ETS1	TGFB1	HTRIDB	HTRIDB	regulatory
ETS1	TGFB1	Remap_5	Remap	regulatory
FOXH1	ABLIM1	Remap_5	Remap	regulatory
FOXH1	TGFB1	evex_regulation_expression	evex_expression	regulatory
FOXL1	ABLIM1	harmonizome_JASPAR	harmonizome_gr	regulatory
FOXL1	KDR	harmonizome_JASPAR	harmonizome_gr	regulatory
HNF4A	ABLIM1	harmonizome_CHEA	harmonizome_gr	regulatory
HNF4A	ABLIM1	harmonizome_ENCODE	harmonizome_gr	regulatory
HNF4A	ABLIM1	regnetwork_source	regnetwork	regulatory
HNF4A	ADM	harmonizome_ENCODE	harmonizome_gr	regulatory
HNF4A	ADM	harmonizome_TRANSFAC_CUR	harmonizome_gr	regulatory
HNF4A	ADM	Remap_5	Remap	regulatory
HNF4A	ADM	pathwaycommons_controls_expression_of	pathwaycommons_expression	regulatory
HNF4A	TGFB1	harmonizome_TRANSFAC_CUR	harmonizome_gr	regulatory
HNF4A	TGFB1	pathwaycommons_controls_expression_of	pathwaycommons_expression	regulatory
JUN	ABLIM1	harmonizome_ENCODE	harmonizome_gr	regulatory
JUN	ABLIM1	harmonizome_JASPAR	harmonizome_gr	regulatory
JUN	ABLIM1	harmonizome_TRANSFAC	harmonizome_gr	regulatory
JUN	ABLIM1	Remap_5	Remap	regulatory
JUN	ADM	harmonizome_CHEA	harmonizome_gr	regulatory
JUN	ADM	harmonizome_TRANSFAC_CUR	harmonizome_gr	regulatory
JUN	ADM	Remap_5	Remap	regulatory
JUN	ADM	pathwaycommons_controls_expression_of	pathwaycommons_expression	regulatory
JUN	KDR	harmonizome_ENCODE	harmonizome_gr	regulatory
JUN	TGFB1	harmonizome_ENCODE	harmonizome_gr	regulatory
JUN	TGFB1	harmonizome_JASPAR	harmonizome_gr	regulatory
JUN	TGFB1	regnetwork_source	regnetwork	regulatory
JUN	TGFB1	trrust	trrust	regulatory
JUN	TGFB1	evex_regulation_expression	evex_expression	regulatory
JUN	TGFB1	pathwaycommons_controls_expression_of	pathwaycommons_expression	regulatory
MYC	ABLIM1	harmonizome_CHEA	harmonizome_gr	regulatory
MYC	ABLIM1	harmonizome_ENCODE	harmonizome_gr	regulatory
MYC	ABLIM1	harmonizome_GEO_GENE	harmonizome_gr	regulatory
MYC	ADM	harmonizome_CHEA	harmonizome_gr	regulatory
MYC	ADM	harmonizome_ENCODE	harmonizome_gr	regulatory
MYC	ADM	regnetwork_source	regnetwork	regulatory
MYC	KDR	harmonizome_CHEA	harmonizome_gr	regulatory
MYC	KDR	harmonizome_ENCODE	harmonizome_gr	regulatory
